26,34,30,t,36,66,17,f,36,44
67,50,43,t,53,61,27,f,0,42
72,64,55,t,47,5,3,f,48,2
51,52,76,t,85,15,89,f,27,66
19,8,11,t,42,34,14,f,96,79
92,15,93,t,65,71,64,f,61,79
42,62,90,t,81,83,24,f,90,95
60,31,24,t,71,96,13,f,81,68
67,78,97,t,26,18,16,f,86,65
83,11,48,t,98,47,76,f,75,85
45,2,79,t,90,73,98,f,81,60
78,2,61,t,76,65,70,f,66,39
74,55,52,t,66,62,92,f,53,12
6,56,99,t,82,98,3,f,23,2
72,35,50,t,49,77,4,f,37,95
73,87,47,t,62,22,11,f,74,12
94,94,21,t,80,52,34,f,64,20
48,48,23,t,61,1,48,f,23,71
89,47,9,t,49,11,91,f,34,50
61,19,0,t,26,88,22,f,31,26
50,31,47,t,33,65,75,f,15,73
89,23,26,t,68,33,70,f,13,95
19,93,47,t,14,4,30,f,2,13
36,25,64,t,22,93,8,f,17,60
48,77,35,t,67,41,29,f,45,45
41,29,79,t,26,83,70,f,50,42
9,63,0,t,13,41,74,f,18,23
81,87,34,t,18,13,50,f,68,74
27,79,63,t,16,85,82,f,68,84
48,56,65,t,53,32,8,f,46,79
28,54,14,t,89,79,98,f,91,12
20,2,84,t,34,31,55,f,0,9
93,17,25,t,76,65,89,f,0,35
1,9,75,t,48,14,65,f,52,54
13,15,62,t,57,79,25,f,31,13
63,66,61,t,75,81,27,f,99,56
54,9,43,t,97,90,90,f,86,10
24,95,30,t,44,77,88,f,76,72
93,3,28,t,40,56,78,f,26,11
46,0,97,t,60,92,1,f,83,71
4,86,6,t,14,40,11,f,77,10
28,20,15,t,9,30,8,f,60,46
6,88,38,t,42,75,75,f,23,78
30,87,58,t,40,68,84,f,87,31
62,58,92,t,41,68,84,f,93,46
79,64,37,t,15,21,95,f,74,69
48,60,48,t,62,39,75,f,65,59
45,32,0,t,50,45,16,f,71,63
57,40,18,t,86,34,68,f,53,63
8,56,5,t,57,44,75,f,99,18
13,53,5,t,35,76,80,f,55,81
99,78,0,t,5,44,74,f,14,85
25,48,29,t,80,40,66,f,91,14
41,71,17,t,10,67,50,f,38,3
99,84,7,t,67,60,85,f,33,83
70,83,36,t,92,27,98,f,16,57
93,15,9,t,10,70,88,f,43,98
85,70,58,t,30,69,47,f,64,94
58,22,65,t,8,93,95,f,2,43
68,5,19,t,84,95,18,f,47,49
53,24,4,t,26,77,96,f,52,34
60,81,77,t,9,75,18,f,27,99
87,41,58,t,46,80,82,f,36,93
10,19,70,t,25,30,49,f,66,82
19,50,45,t,59,31,0,f,67,77
19,79,82,t,49,26,21,f,54,81
97,93,12,t,22,57,90,f,50,59
23,14,72,t,79,32,86,f,62,55
74,65,31,t,12,79,73,f,53,28
93,42,13,t,22,5,40,f,23,50
6,7,9,t,0,23,47,f,20,6
72,31,61,t,80,10,49,f,5,43
71,56,76,t,74,70,9,f,25,73
93,81,43,t,97,87,81,f,53,6
65,69,6,t,72,63,1,f,91,46
80,98,89,t,54,72,58,f,33,34
12,1,17,t,81,70,73,f,15,28
54,85,97,t,73,79,48,f,75,43
31,28,50,t,40,62,40,f,51,7
47,15,1,t,59,82,78,f,94,92
87,24,61,t,77,62,2,f,29,54
85,78,55,t,23,55,4,f,36,44
63,5,58,t,26,7,76,f,48,39
20,98,82,t,33,62,30,f,33,84
91,33,75,t,49,8,48,f,67,56
29,26,46,t,14,55,10,f,94,72
63,18,7,t,6,54,97,f,29,21
93,51,81,t,66,80,39,f,78,11
43,13,85,t,38,92,42,f,47,38
92,51,15,t,99,81,81,f,30,78
82,97,8,t,31,86,9,f,78,66
57,26,62,t,63,86,92,f,17,33
16,95,21,t,7,99,38,f,48,49
38,44,97,t,88,79,5,f,40,72
16,40,85,t,2,36,10,f,56,93
41,46,49,t,37,0,39,f,46,58
99,42,98,t,86,12,80,f,60,77
35,54,92,t,32,98,29,f,8,64
94,65,19,t,87,50,88,f,70,4
49,80,19,t,94,24,19,f,99,59
12,58,66,t,73,36,74,f,2,11
7,94,67,t,38,54,92,f,3,69
87,44,22,t,15,55,62,f,35,3
93,88,33,t,99,33,18,f,97,45
14,31,25,t,43,57,40,f,44,14
55,74,82,t,78,89,16,f,12,99
78,43,29,t,85,8,74,f,5,44
19,64,71,t,98,83,48,f,93,83
16,6,45,t,64,72,71,f,35,50
71,77,22,t,10,13,12,f,80,32
65,8,10,t,95,39,27,f,28,50
3,35,73,t,97,16,72,f,99,85
84,35,4,t,93,44,87,f,94,96
80,5,37,t,31,71,51,f,55,28
56,48,3,t,6,82,74,f,28,15
84,61,95,t,76,71,50,f,94,16
25,70,4,t,33,36,51,f,26,72
46,87,47,t,37,44,71,f,58,5
75,22,56,t,73,85,16,f,51,55
12,71,82,t,66,56,98,f,49,3
8,74,64,t,87,37,80,f,20,22
35,86,25,t,24,17,5,f,96,0
5,32,98,t,73,65,65,f,18,32
25,91,3,t,75,75,61,f,89,7
6,22,58,t,41,54,87,f,67,13
36,66,87,t,63,95,59,f,52,56
7,22,47,t,16,67,60,f,24,81
47,9,50,t,31,6,96,f,1,68
28,77,57,t,34,14,43,f,13,41
56,21,76,t,76,75,44,f,61,12
37,78,33,t,64,59,63,f,93,64
10,31,47,t,24,11,38,f,49,24
85,67,90,t,95,72,66,f,65,97
8,19,49,t,8,34,36,f,93,67
34,78,55,t,3,2,54,f,64,7
72,15,13,t,19,23,50,f,7,76
57,15,96,t,60,88,14,f,37,77
41,48,98,t,28,3,50,f,69,99
4,17,56,t,0,73,96,f,27,6
34,36,97,t,5,73,70,f,77,19
83,3,45,t,4,29,22,f,89,77
9,77,61,t,40,42,72,f,7,76
65,99,52,t,91,62,24,f,22,89
79,74,17,t,38,74,99,f,74,90
59,59,83,t,19,48,81,f,0,46
77,10,50,t,32,69,6,f,77,92
54,63,50,t,10,81,56,f,14,67
34,10,24,t,56,82,51,f,52,67
33,90,25,t,61,99,95,f,62,38
65,7,81,t,4,2,11,f,97,22
46,51,10,t,72,85,16,f,42,50
64,45,47,t,46,74,29,f,27,75
52,70,8,t,40,99,32,f,81,19
63,49,48,t,29,10,84,f,61,85
2,11,70,t,70,64,30,f,56,34
31,64,22,t,68,2,26,f,45,4
27,74,40,t,58,21,0,f,87,35
91,27,26,t,68,2,89,f,5,90
99,48,85,t,55,73,63,f,9,85
53,59,92,t,63,51,47,f,47,90
6,44,70,t,61,85,15,f,92,10
56,26,84,t,14,83,1,f,6,9
58,55,87,t,83,25,62,f,14,26
68,10,37,t,86,89,96,f,8,72
17,6,64,t,30,45,65,f,48,94
58,47,30,t,42,92,73,f,15,49
31,67,31,t,43,49,74,f,84,79
50,54,97,t,62,54,13,f,64,54
9,66,67,t,1,94,19,f,45,78
3,52,36,t,36,94,20,f,83,23
1,11,37,t,5,42,33,f,6,32
74,23,56,t,2,25,39,f,71,65
76,19,15,t,63,85,59,f,56,14
11,6,73,t,0,64,73,f,85,64
42,28,69,t,12,90,79,f,44,75
77,34,63,t,21,77,80,f,91,55
81,66,48,t,10,58,25,f,3,72
51,79,48,t,52,89,3,f,87,21
83,94,71,t,29,47,92,f,53,37
59,18,13,t,50,62,67,f,12,48
55,53,73,t,95,50,6,f,22,63
2,73,96,t,19,77,12,f,28,94
19,7,61,t,2,12,96,f,21,72
54,22,20,t,39,67,11,f,39,89
28,99,63,t,2,55,64,f,56,59
24,41,19,t,88,19,67,f,81,70
33,80,13,t,32,12,82,f,54,32
32,69,47,t,74,2,11,f,50,93
76,37,42,t,61,8,2,f,7,19
9,93,7,t,93,78,19,f,82,78
86,48,53,t,98,71,13,f,56,87
47,65,80,t,27,28,73,f,7,60
79,87,69,t,44,75,27,f,16,75
49,82,61,t,47,0,23,f,93,61
78,54,20,t,37,25,3,f,67,72
99,6,3,t,99,36,9,f,52,73
44,92,58,t,33,60,37,f,0,93
97,4,5,t,67,44,40,f,22,61
2,3,52,t,6,11,85,f,52,47
89,36,16,t,55,48,75,f,11,21
89,20,80,t,33,63,72,f,22,93
9,33,47,t,16,82,47,f,35,85
77,79,59,t,5,70,11,f,73,90
50,11,85,t,65,69,33,f,75,8
18,94,54,t,21,87,83,f,18,46
48,93,10,t,28,69,21,f,58,43
41,48,99,t,24,67,61,f,14,85
24,20,27,t,73,2,72,f,28,39
57,27,89,t,4,98,60,f,51,97
60,43,32,t,58,13,22,f,88,41
42,35,25,t,71,90,23,f,15,63
17,34,25,t,45,80,54,f,60,60
77,88,19,t,48,42,36,f,39,64
74,11,75,t,87,31,27,f,8,98
44,26,10,t,81,99,62,f,74,98
38,83,2,t,7,69,88,f,44,17
91,37,22,t,24,53,72,f,71,8
11,90,13,t,85,23,76,f,98,39
51,80,43,t,8,67,38,f,52,39
22,64,91,t,72,98,43,f,10,46
58,44,10,t,13,18,26,f,39,29
74,40,83,t,68,0,58,f,54,59
12,83,77,t,25,31,24,f,24,35
19,7,96,t,69,7,97,f,69,49
45,75,68,t,9,39,13,f,89,66
77,59,49,t,57,85,52,f,49,41
62,88,67,t,61,36,51,f,74,7
16,36,27,t,64,98,80,f,18,54
30,46,25,t,62,84,91,f,31,18
45,89,32,t,44,25,47,f,5,53
14,21,9,t,36,13,18,f,92,34
55,19,88,t,37,44,9,f,44,39
49,95,52,t,67,42,40,f,51,3
37,67,79,t,67,4,15,f,78,15
88,99,12,t,27,82,36,f,34,8
15,88,43,t,95,16,7,f,2,0
51,20,78,t,25,65,35,f,16,86
97,91,35,t,77,30,6,f,7,6
26,75,76,t,66,57,11,f,15,21
65,26,91,t,5,10,2,f,49,86
62,68,40,t,85,31,35,f,21,5
93,81,5,t,29,39,51,f,82,48
76,56,66,t,77,76,30,f,87,77
88,90,30,t,95,59,78,f,58,24
43,56,97,t,32,49,5,f,47,77
70,52,96,t,99,26,53,f,30,82
87,25,77,t,98,10,21,f,13,2
49,83,0,t,33,18,68,f,47,2
5,54,18,t,59,72,5,f,37,86
95,35,23,t,69,37,84,f,78,98
37,96,90,t,48,62,41,f,7,24
96,47,55,t,51,34,46,f,70,73
11,2,14,t,59,90,45,f,16,29
78,41,8,t,48,35,62,f,63,39
99,45,46,t,5,9,93,f,32,73
39,65,38,t,4,16,52,f,94,11
31,20,36,t,75,26,75,f,31,12
24,93,71,t,50,49,74,f,98,94
73,31,94,t,29,85,44,f,10,15
94,5,33,t,71,61,7,f,3,84
29,52,36,t,59,19,31,f,9,46
29,40,99,t,28,7,82,f,61,27
59,10,41,t,66,8,3,f,88,88
21,60,21,t,45,52,96,f,67,5
35,2,19,t,59,28,90,f,35,1
3,10,85,t,97,90,57,f,34,43
47,26,81,t,66,45,23,f,35,88
23,5,74,t,57,92,32,f,89,51
92,37,4,t,63,33,75,f,80,61
69,80,49,t,84,77,0,f,2,55
