0,0
1,5
2,0
3,7
4,0
5,7
6,3
7,1
8,1
9,1
10,2
11,0
12,2
13,7
14,0
15,2
16,6
17,4
18,0
19,2
20,2
21,7
22,3
23,4
24,7
25,0
26,3
27,2
28,5
29,6
30,7
31,4
32,6
33,3
34,6
35,0
36,2
37,2
38,0
39,2
40,6
41,5
42,3
43,1
44,3
45,7
46,3
47,4
48,4
49,5
50,7
51,1
52,5
53,5
54,3
55,7
56,4
57,1
58,2
59,1
60,2
61,7
62,1
63,1
64,6
65,0
66,0
67,3
68,3
69,3
70,2
71,1
72,5
73,5
74,7
75,6
76,1
77,1
78,7
79,5
80,5
81,6
82,7
83,6
84,4
85,1
86,0
87,3
88,2
89,3
90,5
91,6
92,3
93,6
94,2
95,1
96,7
97,7
98,1
99,6
100,7
101,6
102,2
103,0
104,7
105,4
106,2
107,3
108,3
109,0
110,3
111,2
112,5
113,3
114,0
115,0
116,0
117,7
118,7
119,0
120,1
121,0
122,5
123,5
124,5
125,0
126,4
127,6
128,4
129,0
130,4
131,2
132,1
133,7
134,0
135,5
136,2
137,3
138,3
139,2
140,4
141,0
142,0
143,7
144,6
145,5
146,5
147,7
148,5
149,3
150,5
151,4
152,2
153,7
154,3
155,0
156,7
157,0
158,2
159,5
160,6
161,5
162,5
163,6
164,3
165,4
166,2
167,1
168,2
169,1
170,5
171,0
172,4
173,4
174,0
175,1
176,3
177,4
178,7
179,6
180,6
181,0
182,1
183,3
184,0
185,5
186,1
187,2
188,7
189,1
190,7
191,3
192,5
193,6
194,4
195,6
196,5
197,3
198,6
199,2
200,1
201,4
202,6
203,7
204,1
205,6
206,7
207,6
208,5
209,3
210,3
211,7
212,3
213,7
214,0
215,0
216,1
217,2
218,1
219,5
220,1
221,0
222,6
223,2
224,1
225,0
226,0
227,4
228,1
229,1
230,5
231,6
232,0
233,4
234,0
235,7
236,6
237,0
238,4
239,2
240,6
241,2
242,2
243,6
244,3
245,3
246,2
247,7
248,7
249,7
250,1
251,0
252,6
253,5
254,7
255,1
256,0
257,3
258,1
259,6
260,7
261,5
262,1
263,5
264,5
265,4
266,5
267,4
268,3
269,4
270,7
271,3
272,6
273,6
274,1
275,0
276,4
277,4
278,3
279,7
280,1
281,4
282,3
283,1
284,0
285,7
286,3
287,7
288,0
289,6
290,2
291,2
292,6
293,7
294,6
295,1
296,7
297,5
298,0
299,0
300,5
301,3
302,2
303,1
304,0
305,6
306,2
307,6
308,0
309,2
310,6
311,3
312,5
313,7
314,1
315,5
316,7
317,2
318,5
319,3
320,2
321,2
322,5
323,3
324,7
325,1
326,5
327,5
328,4
329,5
330,6
331,5
332,0
333,1
334,1
335,2
336,3
337,5
338,7
339,6
340,5
341,7
342,2
343,7
344,1
345,5
346,0
347,2
348,4
349,3
350,0
351,3
352,1
353,7
354,1
355,1
356,0
357,6
358,4
359,7
360,3
361,4
362,1
363,6
364,3
365,7
366,6
367,2
368,1
369,2
370,2
371,4
372,1
373,1
374,1
375,5
376,2
377,5
378,4
379,6
380,7
